Hierarchy,Action,Location,Items,Cadence,Description,Time,Condition,Equipment,Instructions
9,Batch,Closet,Clothes,Weekly,,,,"Clothing Bags, Belt Bin, T Shirt Bag, Underwear Socks Bag, Table","(Socks, Underwear, Pants, Belt, Shirt, Shirt) + (Gym Shorts, Shirt, Socks, Silicon Loofa)"
,Batch,Closet,Sheets,Weekly,,,,Sheets Bags,(Cover sheets+4 pillow cases+towel+Hand Towel+ microfiber towel while)
9,Batch,Closet,Towels,Weekly,,,,,
5,Clean,Living Room,Surfaces,Weekly,,,,"Vacuum, Soap Sprayer, 2 Microfiber cloths","Vacuum (Carpet Appliance), Clean Table"
5,Clean,Kitchen,DIshwasher,Weekly,,,,Cascade Pod + Dishes,You know what to do
5,Clean,Bathroom,Surfaces,Weekly,,,,"Soap Sprayer, 2 Microfiber Cloths, Windex, Squigee, Clorox, Drill Brush","Spray down surfaces, wipe, clorox toilet bowl"
5,Clean,Bedroom,Surfaces,Weekly,,,,"Soap Sprayer, 2 Microfiber Cloths",
5,Clean,Den,Surfaces,Weekly,,,,"Soap Sprayer, Microfiber Cloths",
5,Clean,Closet,Surfaces,Weekly,,,,,
5,Clean,Car,Surfaces,Weekly,,,,"Armor All Products, Soal Sprayer, Vacuum, Drill Brush, Squigee",
5,Clean,Kitchen,Cabinets,Quarterly,,,,"Soap Sprayer, Microfiber Cloths",
5,Clean,Bathroom,Drawers,Quarterly,,,,,
5,Clean,Kitchen,Fridge,Quarterly,,,,"Trash Bag, Soap Sprayer, Microfiber Cloths",
10,Descale,Kitchen,Coffee Maker,Monthly,,,,Delongi Descaler,
10,Descale,Kitchen,Kettle,Monthly,,,,Delongi Descaler,
11,Dust,Den,Computer,Monthly,,,,,
8,Fold,Closet,Clothes,Weekly,,,,Table + Cloths,
8,Fold,Closet,Sheets,Weekly,,,,Table + Cloths,
8,Fold,Closet,Towels,Weekly,,,,Table + Cloths,
4,Load,Kitchen,Dishwasher,Daily,,,,Dishes + Dishwasher,
4,Load,Laundry,Clothes,Weekly,,,,,
4,Load,Trash,Trash,Weekly,,,,,
4,Load,Recycling,Plastic,Weekly,,,,Green Bin,
4,Load,Recycling,Glass,Weekly,,,,Black Bin,
4,Load,Recycling,Aluminum,Weekly,,,,White Bin,
4,Load,Recycling,Cardboard,Weekly,,,,Mesh Basket,
4,Load,Laundry,Sheets,Weekly,,,,Mesh Basket,
4,Load,Laundry,Towels,Weekly,,,,Mesh Basket,
4,Load,Supplements,Stack 1,Weekly,,,,Paxil + Fish Oil + NMN + Creatine + Vitamin D,
4,Load,Supplements,Stack 2,Weekly,,,,,
4,Load,Supplements,Stack 3,Weekly,,,,,
12,Make,Bedroom,Bed,Daily,,,,,
12,Make,Bring List,,Weekly,,,,,
7,Operate,Kitchen,Dishwasher,Daily,,,,,
7,Operate,Closet,Washer,Weekly,,,,,
7,Operate,Closet,Dryer,Weekly,,,,,
1,Organize,Living Room,,Weekly,,,,Game Controllers + Books + Alcohol,
1,Organize,Kitchen,,Weekly,,,,"Dishes, Pots, Pans, Silverware, Bags, Pantry Items, Oils, Vitamix, Soda Stream",
1,Organize,Bathroom,,Weekly,,,,"Hair Clippers, Tooth Brush, Brushes, OIls, Soaps,",
1,Organize,Bedroom,,Weekly,,,,"Clothes, Linens, Tv controller, Charger Stuff, Red Light Thing",
1,Organize,Den,,Weekly,,,,"Paper Items, Fasteners, Cables",
1,Organize,Closet,,Weekly,,,,,
1,Organize,Car,,Weekly,,,,"Recycle Bins, Clothes, mesh bags, Trash Can, Government Papers",
5,Scrub,Kitchen,Cutting Boards,Daily,,,,"Soap Sprayer, 2 Microfiber Cloths",
6,Switch,Closet,Sheets,Weekly,,,,"Sheet and Towel Bag, mesh basket",
6,Switch,Closet,Towels,Weekly,,,,"Sheet and Towel Bag, mesh basket",
6,Switch,Bathroom,Razorblades,Monthly,,,,,
2,Unload,Kitchen,Dishwasher,Daily,,,,,
2,Unload,Laundry,Clothes,Weekly,,,,,
2,Unload,Trash,Trash,Weekly,,,,,
2,Unload,Recycling,Plastic,Weekly,,,,,
2,Unload,Recycling,Glass,Weekly,,,,,
2,Unload,Recycling,Aluminum,Weekly,,,,,
